id,created_at,text,user
1904571225906487567,2025-03-25 16:29:00+00:00,"RT @cb_doge: ELON MUSK: ""The South African government has over 100 laws that institutionalize racism against whites and asians.""   https://…",EdnaS1947617
1904571214913241425,2025-03-25 16:28:57+00:00,"@DaKiD_Jay @Stone1776Tom @MMERighteouss @queenie4rmnola White people were murdered and their stores were looted and burned too, though.  You keep blaming everything on whites and talking about revisionist history, but you view it only through a lens of racism rather than social violence.  https://t.co/Uk65mS6uo3",currermell
1904571213373964645,2025-03-25 16:28:57+00:00,This is the reverse racism white people were crying about for 10 years https://t.co/4UpCp1oBez,amw3600
1904571212073775272,2025-03-25 16:28:56+00:00,"@robbystarbuck We've finally arrived. The democrats (and RINOS) are finally getting what they wanted by causing hatred, racism, and severe division and mental illness via lies, lawlessness, and treason. If this turns into a fully blown civil war, at least we know who started it.",TimeToWakeup62
1904571208277844399,2025-03-25 16:28:55+00:00,RT @DoIKnowYourFaDa: This racism against Ashley is jarring and heartbreaking  Is it a crime that she's coloured ? Can you please free Ashle…,khibanyane
1904571204326809947,2025-03-25 16:28:54+00:00,"RT @RealWayneRoot: Of course. Does this surprise anyone? It's the case 99% of time- it's almost always FRAUD. Racism is 99% dead in USA, bu…",matttope2
1904571200371572890,2025-03-25 16:28:54+00:00,RT @ProudElephantUS: 🚨 WOW: DEI Democrat Rep. Jasmine Crockett pulls out the fake tears and blames racism for Kamala’s landslide election l…,Clouds6889
1904571190334701594,2025-03-25 16:28:51+00:00,RT @aquarius_waive: She blames being FAT on “Racism”?! 🤦🏾‍♂️ https://t.co/lSvMFAMMiQ,Deidra8378021
1904571190066188786,2025-03-25 16:28:51+00:00,"@DAQUANDSG you are stupid, so are you racist toward white people for actions of a few white? This is exactly the internal hate I fear. Don't get me wrong, sexxxy red should be criticized but to hate black people because of her..now that is internal racism.",isimi_taiwo
1904571189969719534,2025-03-25 16:28:51+00:00,It's a definite FACT!!!! Many have died due to RACISM though! https://t.co/IBaGEmonRz,TembsyMajija
1904571181765976428,2025-03-25 16:28:49+00:00,RT @EdgingPNW: “This Is How You End Racism.” x @PDXGay7 🌎 https://t.co/b1UgGFGUPj,Devi1z_R3ject
1904571173293224109,2025-03-25 16:28:47+00:00,RT @GioBruno1600: 🚨HATE CRIME HOAX🚨  Allentown city hall employee LaTarsha Brown charged with planting 'noose' on her own desk and making f…,GioBruno1600
1904571170449441025,2025-03-25 16:28:46+00:00,"@elonmusk Basically, They Want You To Believe  That Racism Exists, When The Truth Is  That Racism Doesn't Exist, &amp; The Suppose  Government Just Made It Up To Control,  &amp; Manipulate People Into Giving Them  Exactly What They Wanted...",AmericaDaHated
1904571165818896531,2025-03-25 16:28:45+00:00,"RT @artan_ayan: 🚨 for teen vogue, i wrote about the dangers of race bending white characters, racism in online fandom spaces and why shallo…",teoami
1904571164443238544,2025-03-25 16:28:45+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,Rosadoesart
1904571155887132910,2025-03-25 16:28:43+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,EdaClawthorne16
1904571144419582384,2025-03-25 16:28:40+00:00,RT @Sihodges: This doesn't help Tominey's case. In fact makes her more disingenuous.  Nadia Whittome was treated very shabbily by her and J…,spiralunbound
1904571139717734533,2025-03-25 16:28:39+00:00,"@T_RexCali @vegan_obese @Peps_Wrestling ""racism"" 💀💀shut up",nfnf393939
1904571127223246931,2025-03-25 16:28:36+00:00,RT @meljomur: Seriously need to distance myself from the majority of the GC community. Their defense of what Israel is doing to innocent pe…,Rosa60044194
1904571126853890234,2025-03-25 16:28:36+00:00,"RT @UN_News_Centre: ""Ignorance allows for racism, but racism requires ignorance."" - Sarah Lewis, Associate Professor of African and African…",NeilWalsh_UN
1904571125729731033,2025-03-25 16:28:36+00:00,RT @ProudElephantUS: 🚨 WOW: DEI Democrat Rep. Jasmine Crockett pulls out the fake tears and blames racism for Kamala’s landslide election l…,TerriHam3
1904571118817575115,2025-03-25 16:28:34+00:00,"RT @lesbioomf: It is a bit baffling to me how some people understand that the glorification &amp; trivializing of racism, slavery, imperialism…",oldeubagel
1904571109351026979,2025-03-25 16:28:32+00:00,RT @antonioguterres: I urge everyone to play their part in building inclusive societies free from the evils of racism:  That means countrie…,___Gaia100000
1904571108277236117,2025-03-25 16:28:32+00:00,@EndWokeness LMAO.  That's all they know. Fake crocodile tears for non existent racism.,Jimbo4881113333
1904571094637424666,2025-03-25 16:28:28+00:00,"RT @SFSEgo: Junkerqueen has that country hick racism, Freja has that wealthy coastal elite racism",confusedaaron_
1904571082020880859,2025-03-25 16:28:25+00:00,"The Trump Administration is right — @Columbia is finally on the right track. There is no place in higher education for legitimizing violence, antisemitism, or racism in any form. The plan released by the university this week is serious and ambitious - and that’s precisely why https://t.co/Jff9B6nF6l",Nadav_Eyal
1904571078665461791,2025-03-25 16:28:25+00:00,RT @campaigner71: @UNHCRLibya your silence is deafening. Why have you not made a statement  in regards to targeted violence against thousan…,DanielM18405187
1904571071879053328,2025-03-25 16:28:23+00:00,"@blacklodgebooze @ThomasWillett9 There you go, scratch a gender critic and racism is not far behind. They are not men, they are women.",rejserin
1904571064299962733,2025-03-25 16:28:21+00:00,RT @BeckettUnite: Keir Starmer:  •If you are Christian Ukrainian 🇺🇦 every atrocity is war crime &amp; you are welcome in 🇬🇧  •If you are Muslim…,geedublu
1904571052677603651,2025-03-25 16:28:18+00:00,RT @BeckettUnite: Keir Starmer:  •If you are Christian Ukrainian 🇺🇦 every atrocity is war crime &amp; you are welcome in 🇬🇧  •If you are Muslim…,MalleyMash
1904571050207179255,2025-03-25 16:28:18+00:00,"Many my family members died I had no chance to see their bodies because of the racism in American society.I wish I can see my mother when she is alive and see her body when she died,sadly I had no chance at all because the racists and devils in this country.",BinhMai573837
1904571040690298895,2025-03-25 16:28:15+00:00,"RT @TimesSport: 🗣️ ""I have the power to educate on racism — I must use it.""   Abdoulaye Doucouré has condemned the abuse he received after…",MarkHor79479607
1904571038806974966,2025-03-25 16:28:15+00:00,"RT @mafia_mastiff: America is so racist that you actually have to make up Racism. Unbelievable LaTarsha Brown ""Smollett"" ! If you need to m…",DougHebert1st
